dc_class,dcca_eng,NTorDC,dcca_class,pls_same,pls_diff_hk,pls_diff_kln,pls_diff_nt,pls_diff_oth,plw_same,plw_diff_hk,plw_diff_kln,plw_diff_nt,plw_diff_oth
L,Tuen Mun - Yau Oi North,12,L06,1675,109,261,148,23,1566,647,1352,1364,506
L,Tuen Mun - Tsui Hing,12,L07,2432,195,247,361,5,1665,1372,2018,1923,545
L,Tuen Mun - Shan King,12,L08,1505,90,142,184,12,1790,371,1178,1430,268
L,Tuen Mun - King Hing,12,L09,1334,97,204,351,9,1798,541,1081,1061,414
L,Tuen Mun - Hing Tsak,12,L10,1080,94,231,241,12,1811,498,1237,1323,438
L,Tuen Mun - San Hui,12,L11,1551,112,474,337,37,2597,919,1462,1655,687
L,Tuen Mun - So Kwun Wat,12,L12,1141,142,447,381,38,860,994,1179,1534,315
L,Tuen Mun - Sam Shing,12,L13,1321,88,488,400,25,1173,1016,1327,1393,418
L,Tuen Mun - Hanford,12,L14,1295,123,490,148,84,1167,1054,1247,1538,357
L,Tuen Mun - Yuet Wu,12,L15,1240,62,180,134,14,1351,763,1337,1529,402
L,Tuen Mun - Siu Hei,12,L16,1056,87,147,192,44,1463,652,1114,1254,173
L,Tuen Mun - Wu King,12,L17,1745,83,221,150,-,1331,483,874,646,287
L,Tuen Mun - Butterfly,12,L18,1437,54,83,175,-,1698,562,980,1253,491
L,Tuen Mun - Fu Sun,12,L19,2048,58,265,238,35,1973,925,1772,2205,525
L,Tuen Mun - Lok Tsui,12,L20,1860,104,210,422,14,1040,920,1253,1746,633
L,Tuen Mun - Lung Mun,12,L21,1882,73,216,329,6,2040,778,1310,1395,483
L,Tuen Mun - San King,12,L22,798,33,193,202,13,1937,444,951,1395,458
L,Tuen Mun - Leung King,12,L23,1061,14,78,136,8,1681,551,750,1210,425
L,Tuen Mun - Tin King,12,L24,1062,29,57,175,-,1775,696,990,1101,460
L,Tuen Mun - Po Tin,12,L25,1236,62,117,183,50,1410,472,1074,1127,616
L,Tuen Mun - Kin Sang,12,L26,1332,108,290,270,18,2274,775,1728,1655,555
L,Tuen Mun - Siu Hong,12,L27,1124,97,35,133,-,1107,525,923,1283,616
L,Tuen Mun - Yan Tin,12,L28,2904,80,292,1485,51,1339,282,719,1540,479
L,Tuen Mun - Tuen Mun Rural,11,L29,1783,160,608,957,204,2120,1384,2115,3008,1016
L,Tuen Mun - Fu Tai,12,L30,2055,157,361,342,20,2154,749,1598,1897,536
L,Tuen Mun - Prime View,12,L31,2384,114,260,306,12,2123,1892,2640,2250,623
M,Yuen Long - Fung Nin,9,M01,1443,138,259,588,44,991,1078,1463,2093,912
M,Yuen Long - Yuen Long Centre,9,M02,821,37,236,701,104,922,786,1225,1371,895
M,Yuen Long - Fung Cheung,9,M03,1001,128,275,638,210,853,975,1474,1799,737
M,Yuen Long - Yuen Lung,9,M04,892,85,403,453,220,452,1473,1715,1465,337
M,Yuen Long - Shap Pat Heung Central,9,M05,2018,243,484,1319,131,914,2296,2815,2762,791
M,Yuen Long - Shui Pin,9,M06,1797,139,255,925,152,1282,868,1672,2188,762
M,Yuen Long - Nam Ping,9,M07,708,171,73,330,122,894,609,1085,1684,781
M,Yuen Long - Pek Long,9,M08,695,46,178,209,54,1137,476,971,1757,504
M,Yuen Long - Yuen Long Tung Tau,9,M09,760,109,345,885,161,493,1324,1713,1614,579
M,Yuen Long - Shap Pat Heung North,9,M10,909,63,148,793,224,457,907,1195,1669,582
M,Yuen Long - Shap Pat Heung East,M,M11,324,39,265,2220,-,420,539,957,2582,218
M,Yuen Long - Shap Pat Heung West,M,M12,248,92,427,2302,15,730,1400,2167,3279,506
M,Yuen Long - Ping Shan South,9,M13,114,100,413,1867,29,443,1142,1772,2821,263
M,Yuen Long - Hung Fuk,11,M14,84,63,203,2540,312,93,235,496,2082,517
M,Yuen Long - Ha Tsuen,11,M15,-,153,484,1885,323,497,795,1364,3408,1221
M,Yuen Long - Ping Shan Central,9,M16,462,41,446,2212,2,394,908,1289,2887,782
M,Yuen Long - Shing Yan,10,M17,507,107,150,1528,41,329,791,1519,2611,678
M,Yuen Long - Tin Shing,10,M18,633,33,222,471,12,367,715,1143,1626,567
M,Yuen Long - Tin Yiu,10,M19,889,63,147,389,31,492,523,983,1697,650
M,Yuen Long - Yiu Yau,10,M20,980,140,258,477,37,649,382,1064,1679,663
M,Yuen Long - Tsz Yau,10,M21,940,63,178,501,67,588,598,1102,2211,486
M,Yuen Long - Kingswood South,10,M22,1569,168,493,753,107,543,1496,2074,2350,540
M,Yuen Long - Shui Oi,10,M23,1237,122,201,553,69,749,866,1156,2596,691
M,Yuen Long - Shui Wah,10,M24,931,53,298,355,131,767,553,942,2056,459
M,Yuen Long - Chung Wah,10,M25,1215,12,249,602,96,847,784,1267,2148,679
M,Yuen Long - Chung Pak,10,M26,1278,36,249,584,86,661,1139,1590,2071,666
M,Yuen Long - Kingswood North,10,M27,1748,200,462,923,132,306,1781,2504,2936,815
M,Yuen Long - Yuet Yan,10,M28,1124,54,336,668,82,961,698,973,2578,701
M,Yuen Long - Ching King,10,M29,2222,130,638,1154,153,911,629,935,2300,872
M,Yuen Long - Fu Yan,10,M30,2067,206,424,770,141,777,975,1326,2648,945
M,Yuen Long - Yat Chak,10,M31,1187,90,622,383,100,1311,942,1254,2202,765
M,Yuen Long - Tin Heng,10,M32,1579,187,576,898,101,1196,836,1609,3229,866
M,Yuen Long - Wang Yat,10,M33,1712,225,572,1010,105,1066,807,1415,2677,932
M,Yuen Long - Ping Shan North,9,M34,654,77,345,1542,78,691,589,1009,1791,604
M,Yuen Long - Fairview Park,M,M35,335,150,496,1442,40,328,1324,2219,2801,238
M,Yuen Long - San Tin,M,M36,491,132,457,1726,27,500,602,725,2076,265
M,Yuen Long - Kam Tin,M,M37,421,61,634,1983,17,512,1559,2334,2956,548
M,Yuen Long - Pat Heung North,M,M38,270,45,373,1119,22,685,611,1400,2325,215
M,Yuen Long - Pat Heung South,M,M39,576,123,568,1649,21,505,1827,2578,2782,392
N,North - Luen Wo Hui,8,N01,1732,92,379,683,69,1818,966,1765,1936,721
N,North - Fanling Town,8,N02,1611,43,228,560,-,1017,504,897,1704,286
N,North - Cheung Wah,8,N03,1107,53,309,236,29,1376,585,1495,1524,530
N,North - Wah Do,8,N04,1552,75,490,660,13,1127,766,1950,2317,398
N,North - Wah Ming,8,N05,894,87,70,306,-,1431,522,1454,1462,535
N,North - Yan Shing,8,N06,1488,62,426,714,-,1592,904,2269,2333,665
N,North - Fanling South,8,N07,1301,117,374,658,25,739,776,1994,1908,385
N,North - Shing Fuk,8,N08,788,31,157,324,55,965,632,1416,1655,435
N,North - Ching Ho,8,N09,2109,236,622,807,54,2017,456,958,1777,587
N,North - Yu Tai,8,N10,1738,82,262,901,57,1159,536,1488,1886,647
N,North - Sheung Shui Rural,8,N11,717,47,463,2276,129,581,793,1156,1941,613
N,North - Choi Yuen,8,N12,1145,55,316,376,17,1386,720,1551,1742,464
N,North - Shek Wu Hui,8,N13,2250,124,387,661,114,1468,1282,1411,1965,810
N,North - Tin Ping West,8,N14,738,29,146,249,13,1066,332,1256,1158,361
N,North - Fung Tsui,8,N15,1798,60,340,599,74,1539,685,1444,2007,621
N,North - Sha Ta,N,N16,273,30,216,1727,-,540,705,943,2355,365
N,North - Tin Ping East,8,N17,1655,69,268,466,41,1158,775,1448,1497,574
N,North - Queen's Hill,8,N18,238,150,412,2486,35,672,630,1300,2426,426
P,Tai Po - Tai Po Hui,4,P01,2350,42,205,434,15,2212,448,1099,1075,278
P,Tai Po - Chung Ting,4,P02,1345,41,142,195,-,1612,858,1853,1356,337
P,Tai Po - Tai Po Central,4,P03,1280,44,227,216,-,1266,734,1814,1313,405
